"","name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvede1","prtvede2","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","prtclede","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdnade","rlgblge","rlgdnme","rlgdeade","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","ctzshipd","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","blgetmg","facntr","fbrncntc","mocntr","mbrncntc","admdw","vteurmmb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","fcldbrn","ycldbyr","ngchld","ygcdbyr","ggchld","admge","ageadlt","agemage","ageoage","iaglptn","iagmr","iagpnt","iagrtr","tygledu","tyglvp","tygmr","tygpnt","tygrtr","tolvpnt","tochld","towkht","anvcld","alvgptn","acldnmr","aftjbyc","advcyc","plnftr","hhmmb","gndr","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","yrbrn","agea","yrbrn2","yrbrn3","yrbrn4","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshpsts","lvgptnea","dvrcdeva","marsts","maritalb","chldhhe","domicil","eisced","edulvlb","edubde1","eduade2","eduade3","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","eiscedp","edulvlpb","edupbde1","edupade2","edupade3","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","isco08p","emprelp","wkhtotp","eiscedf","edulvlfb","edufbde1","edufade2","edufade3","emprf14","occf14b","eiscedm","edulvlmb","edumbde1","edumade2","edumade3","emprm14","occm14b","atncrse","anctry1","anctry2","region","regunit","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","fvgabc","infqbst","grspnum","grsplet","netinum","netilet","grspfr","netifr","frlgrsp","frlneti","occinfr","topinfr","btminfr","wltdffr","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","inwdds","inwmms","inwyys","inwshh","inwsmm","inwdde","inwmme","inwyye","inwehh","inwemm","inwtm"
"1","ESS9e03_1",9,3.1,"17.02.2021",9,"DE",0.99946624,1.275009,3.037345,3.872642,0.00012220745,336,5856,8,5,480,5,5,5,3,4,3,3,3,2,4,5,0,2,3,0,2,66,66,2,2,1,2,2,2,2,2,2,66,6,5,10,10,7,7,7,6,2,2,4,4,9,1,1,1,88,8,5,10,7,5,3,2,3,2,3,6,6,1,4,4,6,66,6666,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",2,"UZ",1998,"GER","RUS",2,2,"RU",2,"UZ",1,55,1,2009,2012,1,2012,2,6666,2,66,6666,6666,66,6666,6,1,19,30,70,111,19,22,0,16,17,17,17,0,26,45,40,3,2,2,1,3,5,2,2,1,6,6,6,6,6,6,6,1992,26,1990,6666,6666,6666,6666,6666,6666,6666,1,66,66,66,66,66,66,66,1,2,2,66,1,2,2,3,322,4,0,7,13,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,2,66666,2,0,17,1,19,999,4,4110,2,2,6,6,3,2,3,2,1,4,313,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5221,2,50,3,322,8888,0,6,1,6,88,8888,8888,0,0,3,66,2,15110,555555,"DEA",1,4,4,3,10,10,10,8,1,2,24000,66,20000,66,0,0,666666666,666666666,0,-1,1,-1,2,2,3,2,2,2,2,2,4,3,3,4,3,5,2,5,2,2,3,3,3,3,2,2,5,3,4,5,5,3,2,5,3,17,9,2018,14,6,17,9,2018,15,51,105
"2","ESS9e03_1",9,3.1,"17.02.2021",10,"DE",0.99946624,0.8540229,3.037345,2.5939622,0.00012220745,284,5755,60,1,6666,7,8,5,1,4,4,4,4,7,8,8,6,6,4,5,1,1,1,2,2,2,2,2,1,1,2,1,1,2,5,8,8,5,9,7,8,1,1,5,1,8,1,1,1,10,5,5,8,4,5,3,2,3,2,2,10,8,1,1,1,6,66,6666,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",3,1,1,1997,1976,1,1976,1,1976,1,3,1980,1986,4,2006,6,2,18,40,70,23,28,28,65,15,18,20,22,50,30,50,70,3,3,3,5,3,3,2,2,1,6,6,6,6,6,6,6,1953,65,1951,6666,6666,6666,6666,6666,6666,6666,1,66,66,66,66,66,66,66,1,2,2,66,1,1,2,3,321,3,0,3,11,0,0,0,0,0,1,0,1,0,0,0,0,8,8,2,1,1998,1,66666,1,1,1,3,4,4,40,1,40,86,4,3251,2,2,6,6,3,4,6,2,4,7,720,6,8,12,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,3,321,3,0,8,1,3,2,212,3,0,0,3,66,2,11070,11078,"DE2",1,4,4,3,10,5,4,6,2,2,666666666,66,530,66,6,0,666666666,666666666,0,0,-4,4,3,2,3,3,2,3,2,2,4,3,4,4,3,6,2,5,1,3,3,2,4,3,2,1,5,1,6,3,5,1,1,4,5,17,12,2018,16,19,17,12,2018,17,31,72
"3","ESS9e03_1",9,3.1,"17.02.2021",64,"DE",0.99946624,0.75969493,3.037345,2.3074555,0.00012220745,307,5798,120,3,6666,7,7,5,1,2,2,3,3,3,5,6,3,5,5,6,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,8,5,6,6,4,8,1,1,3,3,8,1,1,1,9,8,8,10,4,4,4,2,2,2,3,9,10,1,2,2,6,66,6666,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",3,1,1,1967,1961,1,1964,1,1965,1,3,1966,1973,5,1992,2,1,18,35,75,20,22,22,70,16,16,16,16,50,20,40,65,3,3,3,2,3,3,2,2,1,6,6,6,6,6,6,6,1944,74,1944,6666,6666,6666,6666,6666,6666,6666,1,66,66,66,66,66,66,66,1,2,2,66,1,1,3,5,422,5,0,4,20,1,0,0,0,0,1,0,0,0,0,0,0,6,6,6,6,6666,2,0,6,7,7,66666,77,77,666,2,777,777,5,2354,2,2,6,6,3,4,6,3,4,7,720,6,8,12,1,0,0,0,0,1,0,0,0,0,0,0,0,6,6,2636,1,50,6,610,6,5,12,1,3,2,213,4,0,0,3,66,2,11070,555555,"DE9",1,5,3,3,10,10,8,5,2,2,666666666,66,350,66,6,0,666666666,666666666,-4,0,-2,0,4,4,3,2,2,4,2,2,2,2,2,3,1,6,2,2,5,1,6,2,4,1,1,1,1,3,5,5,4,1,1,1,1,11,12,2018,9,58,11,12,2018,11,24,86
"4","ESS9e03_1",9,3.1,"17.02.2021",65,"DE",0.99946624,1.0794106,3.037345,3.278542,0.00012220745,338,5861,300,2,6666,7,6,3,1,3,2,2,3,3,4,4,3,3,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,3,2,6,6,2,4,3,3,2,4,2,4,6,2,2,2,4,4,3,6,4,3,2,2,2,3,2,6,3,1,1,1,6,66,6666,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",2,1,1,1968,1973,1,1974,1,1973,1,3,1974,1981,3,2014,6,2,18,45,60,25,25,26,55,20,18,18,17,0,30,48,65,3,4,4,3,2,6,2,1,2,6,6,6,6,6,6,6,1954,64,1956,6666,6666,6666,6666,6666,6666,6666,1,66,66,66,66,66,66,66,1,2,2,66,1,1,4,3,322,3,0,6,12,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1971,1,66666,1,1,2,66666,10,6,40,1,35,81,3,7133,2,1,1,1,2,1,6,2,4,3,322,3,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,5151,1,35,3,321,3,0,1,1,5,2,212,3,0,0,3,66,2,11070,11078,"DEA",1,2,3,2,8,8,4,3,2,2,666666666,66,2500,66,6,-3,666666666,3500,-2,2,-4,3,1,2,3,2,2,2,3,2,4,5,4,5,2,5,2,3,4,5,5,2,2,2,2,2,4,2,5,3,2,2,2,3,2,29,9,2018,11,22,29,9,2018,12,17,55
"5","ESS9e03_1",9,3.1,"17.02.2021",91,"DE",0.99946624,1.2697877,3.037345,3.8567832,0.00012220745,297,5779,0,5,60,5,6,6,3,2,3,3,4,4,5,7,5,5,4,5,1,9,88,2,2,1,2,1,2,1,1,2,66,6,1,9,9,5,5,5,5,3,1,5,1,10,1,8,8,8,8,8,9,5,3,3,2,2,1,3,4,4,2,66,6666,2,66,6666,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",2,1,1,1982,1985,1,1988,2,6666,1,1,1989,6666,0,6666,6,2,30,45,75,30,0,30,75,20,20,20,25,60,45,60,65,3,3,3,3,3,5,2,2,1,6,6,6,6,6,6,6,1965,54,1988,6666,6666,6666,6666,6666,6666,6666,1,66,66,66,66,66,66,66,3,6,2,6,6,1,2,88,8888,4,8888,3,14,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,2,0,6,1,2,66666,10,10,50,1,50,86,5,3255,2,2,6,6,3,2,8,2,2,5,520,6,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,4110,1,35,3,322,4,0,6,1,9,3,322,4,0,6,1,9,2,11070,555555,"DE4",1,3,3,1,5,5,5,88,1,2,6000,66,4000,66,-1,-2,6000,4500,-3,1,-4,3,3,3,3,3,8,2,2,2,4,2,2,2,2,5,2,2,5,4,6,2,3,2,2,4,2,4,3,5,6,2,2,5,4,12,2,2019,12,23,12,2,2019,16,22,239
"6","ESS9e03_1",9,3.1,"17.02.2021",119,"DE",0.99946624,1.275009,3.037345,3.872642,0.00012220745,323,5831,30,5,30,3,6,5,2,3,1,8,4,9,7,7,8,8,10,10,1,2,1,2,2,2,2,2,2,2,2,2,66,6,5,9,8,88,10,8,9,1,1,5,1,8,2,2,1,8,8,7,9,6,4,2,2,3,1,3,9,7,1,7,7,6,66,6666,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"TAM","GER",1,2,"LK",2,"LK",2,1,2,6666,0,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,19,30,50,888,26,29,58,18,23,23,24,45,27,37,55,3,2,2,4,4,4,4,2,1,2,1,6,6,6,6,6,1998,20,1962,1963,2001,6666,6666,6666,6666,6666,3,3,4,66,66,66,66,66,66,2,2,6,6,2,2,4,313,6,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,66,9,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,3,1,88,2,6,66,6666,6666,6666,6666,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,1,113,1,0,0,1,7,1,113,1,0,0,1,8,2,41110,11070,"DEA",1,5,4,3,9,8,4,4,3,2,666666666,66,570,66,6,8,666666666,888888888,8,8,8,8,4,3,3,4,3,2,1,2,4,2,2,3,3,3,1,3,2,2,2,1,2,3,3,1,1,1,3,4,3,1,1,1,2,26,9,2018,12,3,26,9,2018,12,59,56
"7","ESS9e03_1",9,3.1,"17.02.2021",150,"DE",0.99946624,0.9422759,3.037345,2.862017,0.00012220745,320,5825,60,4,90,3,4,4,1,3,3,3,3,10,10,10,10,4,10,10,1,1,1,1,2,1,2,1,2,1,2,1,1,1,5,10,10,5,10,0,5,1,1,4,1,10,2,2,3,10,10,6,9,4,3,4,2,2,2,3,10,10,1,1,1,6,66,6666,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",3,1,1,1965,1968,1,1968,1,1968,1,2,1969,1971,2,2001,2,2,20,50,65,25,30,25,0,15,20,18,18,45,30,50,0,3,3,3,3,3,0,1,2,6,6,6,6,6,6,6,6,1947,71,6666,6666,6666,6666,6666,6666,6666,6666,66,66,66,66,66,66,66,66,66,2,2,5,5,1,4,3,321,4,0,3,12,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2010,1,66666,1,5,2,66666,10,3,30,1,30,86,1,3256,2,2,6,6,3,4,4,1,66,66,6666,6666,6666,6666,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,3,321,3,0,1,2,7,5,520,3,0,5,1,5,2,11070,555555,"DEA",1,5,3,3,0,7,7,7,2,2,666666666,66,2100,66,6,0,666666666,666666666,0,0,-1,2,2,2,1,1,1,2,2,2,3,2,2,2,2,5,3,4,1,3,3,3,3,3,3,2,4,2,6,5,1,1,1,1,3,5,12,2018,10,4,5,12,2018,11,20,76
"8","ESS9e03_1",9,3.1,"17.02.2021",212,"DE",0.99946624,1.4220028,3.037345,4.319113,0.00012220745,295,5775,30,5,300,6,5,5,3,3,1,2,2,5,7,7,5,5,6,6,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,8,8,7,7,8,9,1,1,5,1,5,1,1,1,8,8,8,8,5,2,3,2,2,2,2,8,8,2,66,6666,2,66,6666,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","ENG",2,1,"6666",1,"6666",1,1,1,1998,2002,1,2008,1,2010,1,2,2009,2013,66,6666,6,2,17,40,70,20,25,25,60,16,16,18,20,30,30,60,70,3,3,3,3,2,3,5,1,2,1,1,2,6,6,6,6,1977,41,1978,1998,2009,2013,6666,6666,6666,6666,1,2,2,2,66,66,66,66,1,1,2,66,1,6,1,5,422,5,0,6,14,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,4,2,66666,7,0,38,1,35,90,2,3435,2,1,1,2,3,1,5,2,1,4,313,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5230,1,40,3,322,4,0,6,1,6,3,322,4,0,6,1,5,2,11070,555555,"DE4",1,3,3,2,7,7,7,7,1,2,1600,66,1150,66,-1,-1,2000,1500,0,1,-1,1,4,4,3,3,2,2,2,2,4,2,2,2,2,4,2,2,2,4,3,2,3,2,2,3,3,4,4,3,3,2,2,2,2,21,9,2018,13,10,21,9,2018,14,12,62
"9","ESS9e03_1",9,3.1,"17.02.2021",255,"DE",0.99946624,1.2261274,3.037345,3.7241716,0.00012220745,294,5774,60,4,20,7,7,8,2,2,3,2,4,5,8,9,5,5,3,7,1,3,3,2,2,2,2,1,1,1,2,1,3,2,3,4,5,4,6,4,6,1,1,5,1,4,1,2,8,7,7,7,5,5,4,2,2,1,4,2,7,7,2,66,6666,1,1,1,3,7,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"6666",1,"6666",6666,"GER","ENG",2,1,"6666",1,"6666",3,1,1,1975,1975,1,1980,1,1994,2,66,6666,6666,66,6666,6,1,22,40,65,20,22,22,777,16,18,22,22,777,25,45,60,3,3,3,3,3,7,1,1,6,6,6,6,6,6,6,6,1956,62,6666,6666,6666,6666,6666,6666,6666,6666,66,66,66,66,66,66,66,66,66,1,1,4,4,2,1,5,422,4,0,9,16,1,0,0,0,1,0,0,0,0,0,0,0,1,1,6,6,6666,1,66666,1,1,2,66666,1,0,20,1,25,49,4,8322,2,1,1,1,2,5,1,2,66,66,6666,6666,6666,6666,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,7,720,6,8,0,2,1,4,312,5,0,0,4,66,2,11060,11070,"DE3",1,3,3,3,10,10,4,5,3,2,666666666,66,500,66,6,-2,666666666,700,-2,-1,-2,-3,3,2,4,4,3,3,2,2,5,3,4,4,2,5,2,4,4,1,4,2,3,2,1,2,4,2,3,5,4,1,2,3,4,18,9,2018,10,12,18,9,2018,11,13,61
"10","ESS9e03_1",9,3.1,"17.02.2021",270,"DE",0.99946624,0.97831357,3.037345,2.9714756,0.00012220745,278,5742,30,1,6666,8,9,9,2,3,2,3,3,7,8,8,6,6,7,7,1,1,1,1,1,2,2,2,2,2,2,1,1,3,5,9,9,6,9,9,6,2,2,4,4,8,1,2,3,7,4,5,9,7,4,4,2,2,1,3,8,7,1,1,1,6,66,6666,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"GER","000",2,1,"6666",1,"6666",3,1,1,1969,0,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,18,30,80,18,20,20,60,25,18,18,19,55,18,40,60,3,3,3,1,3,8,1,1,6,6,6,6,6,6,6,6,1953,65,6666,6666,6666,6666,6666,6666,6666,6666,66,66,66,66,66,66,66,66,66,2,2,6,6,2,4,3,322,3,0,7,14,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1969,1,66666,1,4,2,66666,1,1,40,1,40,23,4,4110,2,2,6,6,3,4,6,2,66,66,6666,6666,6666,6666,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,2,212,3,0,0,2,9,2,212,3,0,0,3,66,2,11070,11078,"DE2",1,3,3,3,9,9,7,7,2,2,666666666,66,1000,66,6,-3,666666666,1500,-3,3,-3,0,3,4,3,2,2,4,2,2,4,2,2,2,1,4,5,5,2,5,2,2,2,4,2,2,5,2,5,2,5,2,2,1,4,13,9,2018,11,27,13,9,2018,13,41,134
